qid,prompt_name,model,sc_label,sc_confidence,score,n_help,n_hurt,n_unknown
19335,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
19335,direct,Qwen3-8B,Help,0.8,0.8,4,1,0
19335,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
47923,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
47923,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
47923,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
87181,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
87181,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
87181,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
87452,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
87452,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
87452,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
104861,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
104861,direct,Qwen3-8B,Help,0.8,0.8,4,1,0
104861,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
130510,cot,Qwen3-8B,Help,0.6666666666666666,0.6666666666666666,2,1,2
130510,direct,Qwen3-8B,Help,0.8,0.8,4,1,0
130510,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
131843,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
131843,direct,Qwen3-8B,Help,0.6,0.6,3,2,0
131843,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
146187,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
146187,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
146187,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
148538,cot,Qwen3-8B,Help,1.0,1.0,4,0,1
148538,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
148538,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
156493,cot,Qwen3-8B,Help,1.0,1.0,4,0,1
156493,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
156493,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
168216,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
168216,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
168216,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
182539,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
182539,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
182539,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
183378,cot,Qwen3-8B,Help,0.8,0.8,4,1,0
183378,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
183378,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
207786,cot,Qwen3-8B,Help,1.0,1.0,4,0,1
207786,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
207786,expert,Qwen3-8B,Help,0.6,0.6,3,2,0
264014,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
264014,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
264014,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
359349,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
359349,direct,Qwen3-8B,Help,0.6,0.6,3,2,0
359349,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
405717,cot,Qwen3-8B,Help,1.0,1.0,4,0,1
405717,direct,Qwen3-8B,Help,0.8,0.8,4,1,0
405717,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
443396,cot,Qwen3-8B,Hurt,0.6,0.4,2,3,0
443396,direct,Qwen3-8B,Help,0.6,0.6,3,2,0
443396,expert,Qwen3-8B,Hurt,0.8,0.19999999999999996,1,4,0
451602,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
451602,direct,Qwen3-8B,Help,0.6,0.6,3,2,0
451602,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
489204,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
489204,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
489204,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
490595,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
490595,direct,Qwen3-8B,Help,0.8,0.8,4,1,0
490595,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
527433,cot,Qwen3-8B,Help,0.6,0.6,3,2,0
527433,direct,Qwen3-8B,Help,0.8,0.8,4,1,0
527433,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
573724,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
573724,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
573724,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
833860,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
833860,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
833860,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
855410,cot,Qwen3-8B,Help,0.75,0.75,3,1,1
855410,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
855410,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
915593,cot,Qwen3-8B,Help,0.6,0.6,3,2,0
915593,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
915593,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
962179,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
962179,direct,Qwen3-8B,Help,0.8,0.8,4,1,0
962179,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
1037798,cot,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1037798,direct,Qwen3-8B,Hurt,0.8,0.19999999999999996,1,4,0
1037798,expert,Qwen3-8B,Hurt,0.6,0.4,2,3,0
1063750,cot,Qwen3-8B,Help,1.0,1.0,4,0,1
1063750,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
1063750,expert,Qwen3-8B,Hurt,0.6,0.4,2,3,0
1103812,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
1103812,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
1103812,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
1106007,cot,Qwen3-8B,Help,1.0,1.0,2,0,3
1106007,direct,Qwen3-8B,Help,0.8,0.8,4,1,0
1106007,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
1110199,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
1110199,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
1110199,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
1112341,cot,Qwen3-8B,Help,0.75,0.75,3,1,1
1112341,direct,Qwen3-8B,Help,0.8,0.8,4,1,0
1112341,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
1113437,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
1113437,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
1113437,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
1114646,cot,Qwen3-8B,Help,1.0,1.0,4,0,1
1114646,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
1114646,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
1114819,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
1114819,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
1114819,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
1115776,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
1115776,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
1115776,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
1117099,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
1117099,direct,Qwen3-8B,Help,0.6,0.6,3,2,0
1117099,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
1121402,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
1121402,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
1121402,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
1121709,cot,Qwen3-8B,Help,1.0,1.0,4,0,1
1121709,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
1121709,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
1124210,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
1124210,direct,Qwen3-8B,Help,0.8,0.8,4,1,0
1124210,expert,Qwen3-8B,Help,1.0,1.0,5,0,0
1129237,cot,Qwen3-8B,Help,1.0,1.0,4,0,1
1129237,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
1129237,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
1133167,cot,Qwen3-8B,Help,1.0,1.0,5,0,0
1133167,direct,Qwen3-8B,Help,1.0,1.0,5,0,0
1133167,expert,Qwen3-8B,Help,0.8,0.8,4,1,0
19335,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
19335,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
19335,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
47923,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
47923,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
47923,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87181,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87181,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87181,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87452,cot,Qwen3-14B,Help,1.0,1.0,1,0,4
87452,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87452,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
104861,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
104861,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
104861,expert,Qwen3-14B,Help,1.0,1.0,1,0,4
130510,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
130510,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
130510,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
131843,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
131843,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
131843,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
146187,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
146187,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
146187,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
148538,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
148538,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
148538,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
156493,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
156493,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
156493,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
168216,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
168216,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
168216,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
182539,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
182539,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
182539,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
183378,cot,Qwen3-14B,Help,1.0,1.0,1,0,4
183378,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
183378,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
207786,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
207786,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
207786,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
264014,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
264014,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
264014,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
359349,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
359349,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
359349,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
405717,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
405717,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
405717,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
443396,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
443396,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
443396,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
451602,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
451602,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
451602,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
489204,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
489204,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
489204,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
490595,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
490595,direct,Qwen3-14B,Help,1.0,1.0,1,0,4
490595,expert,Qwen3-14B,Help,1.0,1.0,1,0,4
527433,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
527433,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
527433,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
573724,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
573724,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
573724,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
833860,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
833860,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
833860,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
855410,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
855410,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
855410,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
915593,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
915593,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
915593,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
962179,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
962179,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
962179,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1037798,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1037798,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1037798,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1063750,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1063750,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1063750,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1103812,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1103812,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1103812,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1106007,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1106007,direct,Qwen3-14B,Help,1.0,1.0,1,0,4
1106007,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1110199,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1110199,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1110199,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1112341,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1112341,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1112341,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1113437,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1113437,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1113437,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1114646,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1114646,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1114646,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1114819,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1114819,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1114819,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1115776,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1115776,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1115776,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1117099,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1117099,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1117099,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1121402,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1121402,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1121402,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1121709,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1121709,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1121709,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1124210,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1124210,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1124210,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1129237,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1129237,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1129237,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1133167,cot,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1133167,direct,Qwen3-14B,Unknown,0.0,1.0,0,0,5
1133167,expert,Qwen3-14B,Unknown,0.0,1.0,0,0,5
19335,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
19335,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
19335,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
47923,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
47923,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
47923,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
87181,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
87181,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
87181,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
87452,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
87452,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
87452,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
104861,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
104861,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
104861,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
130510,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
130510,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
130510,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
131843,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
131843,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
131843,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
146187,cot,Qwen3-14B-Think,Help,1.0,1.0,1,0,4
146187,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
146187,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
148538,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
148538,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
148538,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
156493,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
156493,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
156493,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
168216,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
168216,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
168216,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
182539,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
182539,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
182539,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
183378,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
183378,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
183378,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
207786,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
207786,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
207786,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
264014,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
264014,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
264014,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
359349,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
359349,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
359349,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
405717,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
405717,direct,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
405717,expert,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
443396,cot,Qwen3-14B-Think,Unknown,0.0,1.0,0,0,5
443396,direct,Qwen3-14B-Think,Help,1.0,1.0,1,0,4
